ID,Game Session ID,Player ID,Event Type,Timestamp,Date Time,Latitude,Longitude,Altitude,Azimuth
5083,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609074408,2025-06-22 16:17:54.408,42.55714151,-87.95973706,174.593505859375,174.09337
5084,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609076401,2025-06-22 16:17:56.401,42.55714142,-87.95973727,174.5916748046875,160.00476
5085,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609078405,2025-06-22 16:17:58.405,42.55714134,-87.9597374,174.5965576171875,166.79489
5086,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609080401,2025-06-22 16:18:00.401,42.55714129,-87.95973745,174.6026611328125,178.69724
5087,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609082404,2025-06-22 16:18:02.404,42.55714125,-87.95973752,174.60833740234375,163.9959
5088,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609084403,2025-06-22 16:18:04.403,42.55714123,-87.95973776,174.5982666015625,169.00107
5089,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609086402,2025-06-22 16:18:06.402,42.5571412,-87.95973788,174.60125732421875,162.2306
5090,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609088403,2025-06-22 16:18:08.403,42.55714143,-87.95973787,174.52813720703125,166.60797
5091,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609090401,2025-06-22 16:18:10.401,42.55714152,-87.95973786,174.518310546875,162.36848
5092,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609092406,2025-06-22 16:18:12.406,42.55714153,-87.95973792,174.50994873046875,162.70943
5093,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609094405,2025-06-22 16:18:14.405,42.55714155,-87.95973806,174.49713134765625,159.09024
5094,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609096408,2025-06-22 16:18:16.408,42.55714156,-87.95973809,174.49957275390625,159.56583
5095,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609098405,2025-06-22 16:18:18.405,42.55714156,-87.95973822,174.49383544921875,159.2288
5096,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609100406,2025-06-22 16:18:20.406,42.55714154,-87.95973836,174.4910888671875,159.43515
5097,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609102405,2025-06-22 16:18:22.405,42.55714153,-87.95973855,174.4766845703125,175.44826
5098,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609104408,2025-06-22 16:18:24.408,42.55714153,-87.95973856,174.4744873046875,291.86395
5099,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609106404,2025-06-22 16:18:26.404,42.55714151,-87.9597386,174.478515625,175.10846
5100,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609108405,2025-06-22 16:18:28.405,42.55714148,-87.95973864,174.4825439453125,152.89967
5101,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609110407,2025-06-22 16:18:30.407,42.55714146,-87.9597386,174.4801025390625,156.77036
5102,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609112401,2025-06-22 16:18:32.401,42.55714144,-87.95973862,174.4781494140625,152.08865
5103,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609114407,2025-06-22 16:18:34.407,42.55714141,-87.95973885,174.4691162109375,155.0906
5104,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609116409,2025-06-22 16:18:36.409,42.55714139,-87.95973894,174.466552734375,159.47787
5105,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609118408,2025-06-22 16:18:38.408,42.55714137,-87.95973893,174.46624755859375,159.8073
5106,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609120402,2025-06-22 16:18:40.402,42.55714138,-87.95973888,174.4656982421875,157.9936
5107,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609122405,2025-06-22 16:18:42.405,42.55714138,-87.95973881,174.462158203125,163.59137
5108,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609124403,2025-06-22 16:18:44.403,42.55714139,-87.9597388,174.4603271484375,174.48268
5109,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609126401,2025-06-22 16:18:46.401,42.55714478,-87.95973746,174.36712646484375,154.21461
5110,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609128402,2025-06-22 16:18:48.402,42.55714614,-87.95973618,174.56951904296875,279.37943
5111,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609130403,2025-06-22 16:18:50.403,42.55714828,-87.95973409,174.43988037109375,188.0575
5112,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609132401,2025-06-22 16:18:52.401,42.55714961,-87.95973424,174.3314208984375,192.59352
5113,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609134408,2025-06-22 16:18:54.408,42.55715185,-87.95973652,174.22247314453125,191.73566
5114,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609136405,2025-06-22 16:18:56.405,42.55715331,-87.95973858,173.98681640625,184.7825
5115,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609138404,2025-06-22 16:18:58.404,42.55715414,-87.95974098,173.93084716796875,187.38588
5116,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609140404,2025-06-22 16:19:00.404,42.55715428,-87.95974147,173.8863525390625,185.13641
5117,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609142407,2025-06-22 16:19:02.407,42.55715428,-87.95974155,173.8802490234375,175.7793
5118,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609144405,2025-06-22 16:19:04.405,42.55715429,-87.95974165,173.8709716796875,183.94502
5119,006dfa02-7f2f-4c7b-81a5-7367b682e916,Chris,LOCATION,1750609146403,2025-06-22 16:19:06.403,42.5571543,-87.95974172,173.8699951171875,181.89363
